id,alpha
280897,1
271182,1
281379,4
280931,4
277816,2
280668,1
280401,2
275223,1
272470,1
277079,2
270346,3
274030,3
279076,4
281537,4
280618,4
272884,2
279155,2
272601,2
278839,2
273889,3
276019,3
270211,4
279812,4
277663,4
274815,1
270090,4
270229,1
278302,2
280716,4
271114,1
273769,4
273778,1
275433,2
277007,2
280263,1
276724,3
274520,2
270475,1
279549,2
280748,2
271140,1
279431,2
273776,2
278897,1
277706,2
270198,4
275955,1
278765,1
278783,2
273644,1
275000,2
279055,1
273675,4
272371,4
280430,3
280062,2
274818,4
271989,1
278983,2
274003,4
280245,4
277434,2
270508,2
275804,3
272686,2
277326,3
281168,4
272020,1
275976,4
279102,2
277561,4
275219,3
281001,2
276274,2
278345,2
274150,1
274318,2
276276,3
271634,2
277815,4
271026,1
276610,3
270103,2
281300,2
273533,1
281083,2
276766,2
275032,4
271382,2
277048,3
271822,1
270282,2
271750,2
275778,2
274450,4
275727,2
278134,2
281155,2
278116,4
273741,2
273598,2
277497,3
278792,2
280877,2
273869,2
271673,2
278532,2
273933,3
278167,3
271961,1
278483,3
281428,1
276999,2
280508,1
275880,4
272865,2
276842,2
273744,2
273611,2
275015,3
274189,4
278537,2
277012,2
271405,1
276901,2
273792,2
274905,1
271301,2
280423,4
277667,2
273424,1
275659,3
277075,2
274271,2
270108,2
270747,2
280648,2
279008,2
273861,1
273839,2
277242,1
272732,3
277841,2
276062,2
281296,3
273473,2
278370,3
272386,4
272753,2
276781,1
274636,3
273635,4
272831,2
280971,1
271190,2
273044,2
278182,3
272972,2
280585,2
277330,4
272644,3
275453,4
280341,2
271998,2
270851,2
281047,2
272945,1
277964,4
273437,2
275789,4
279341,2
281569,1
280768,2
274306,1
276682,1
275501,2
272493,2
272533,2
278235,4
279287,3
272572,2
281398,2
271213,4
271314,2
273371,1
279617,2
270978,2
272667,2
281303,2
280240,2
281330,4
276900,2
274022,1
273271,4
274934,3
279953,3
280383,2
279230,2
275836,2
276422,2
279305,4
278035,2
277716,3
280148,2
278343,2
273498,4
277309,2
275173,1
275755,2
279733,2
271834,4
280832,2
276445,2
278498,2
271678,2
281271,2
276053,3
271379,4
275606,1
270807,3
278676,1
271416,2
273929,2
273306,2
270643,1
277491,4
272462,4
271005,1
278031,2
275425,2
277689,2
273823,2
280238,2
272146,2
277237,1
281539,4
280557,2
281340,3
280934,4
270835,1
276932,2
270062,2
274302,2
274906,3
272592,2
279633,2
275408,2
277676,1
270644,4
275533,2
274649,2
272222,2
271997,2
271330,1
276207,2
275014,4
277338,4
270563,3
275590,3
272448,3
281482,4
272851,3
279672,2
271727,4
275694,4
271309,4
281374,1
277738,2
276178,2
